ontology,class,algorithm,selection_type,auroc,auprc,time_sec
BP,GO:0009790,naive_bayes,PCA,0.7745,0.0588,6.927
BP,GO:0009791,naive_bayes,PCA,0.7316,0.0422,7.216
BP,GO:0009792,naive_bayes,PCA,0.7808,0.0566,6.668
BP,GO:0009794,naive_bayes,PCA,0.7146,0.0032,7.252
BP,GO:0009798,naive_bayes,PCA,0.8361,0.0346,6.861
BP,GO:0009799,naive_bayes,PCA,0.665,0.0032,7.794
BP,GO:0009855,naive_bayes,PCA,0.665,0.0032,7.451
BP,GO:0009880,naive_bayes,PCA,0.8549,0.0225,6.916
BP,GO:0009886,naive_bayes,PCA,0.6497,0.0125,7.016
BP,GO:0009887,naive_bayes,PCA,0.75,0.0182,7.503
BP,GO:0009888,naive_bayes,PCA,0.7256,0.0044,7.231
BP,GO:0009889,naive_bayes,PCA,0.775,0.0496,6.497
BP,GO:0009890,naive_bayes,PCA,0.7595,0.0207,6.991
BP,GO:0009891,naive_bayes,PCA,0.8026,0.0434,7.092
BP,GO:0009892,naive_bayes,PCA,0.7329,0.0294,6.351
BP,GO:0009893,naive_bayes,PCA,0.7681,0.053,7.468
BP,GO:0009894,naive_bayes,PCA,0.6804,0.0186,7.403
BP,GO:0009896,naive_bayes,PCA,0.6556,0.0192,6.819
BP,GO:0009948,naive_bayes,PCA,0.8353,0.0188,7.032
BP,GO:0009949,naive_bayes,PCA,0.7565,0.0074,7.248
BP,GO:0009952,naive_bayes,PCA,0.6616,0.0046,6.639
BP,GO:0009966,naive_bayes,PCA,0.7467,0.04,7.251
BP,GO:0009967,naive_bayes,PCA,0.7893,0.0202,7.728
BP,GO:0009968,naive_bayes,PCA,0.7584,0.0368,7.086
BP,GO:0009987,naive_bayes,PCA,0.7282,0.1959,6.883
BP,GO:0009991,naive_bayes,PCA,0.742,0.0102,7.286
BP,GO:0010033,naive_bayes,PCA,0.7326,0.0148,6.972
BP,GO:0010035,naive_bayes,PCA,0.744,0.0178,6.655
BP,GO:0010038,naive_bayes,PCA,0.7341,0.0109,7.013
BP,GO:0010171,naive_bayes,PCA,0.7242,0.0138,7.997
BP,GO:0010172,naive_bayes,PCA,0.6863,0.017,7.231
BP,GO:0010212,naive_bayes,PCA,0.6586,0.0085,7.133
BP,GO:0010243,naive_bayes,PCA,0.888,0.0224,7.046
BP,GO:0010286,naive_bayes,PCA,0.5945,0.0034,7.223
BP,GO:0010324,naive_bayes,PCA,0.6795,0.0128,6.545
BP,GO:0010453,naive_bayes,PCA,0.7343,0.0113,7.507
BP,GO:0010455,naive_bayes,PCA,0.7303,0.0069,6.867
BP,GO:0010468,naive_bayes,PCA,0.7663,0.0581,7.419
BP,GO:0010470,naive_bayes,PCA,0.6768,0.0077,7.173
BP,GO:0010498,naive_bayes,PCA,0.8348,0.043,7.414
BP,GO:0010506,naive_bayes,PCA,0.5343,0.0021,7.187
BP,GO:0010556,naive_bayes,PCA,0.7889,0.0494,7.409
